term,int_rate,installment,emp_length,annual_inc,loan_status,dti,pub_rec,revol_bal,revol_util,total_acc,mort_acc
36,13.11,337.47,9.0,78000.0,1,26.15,0.0,7532.0,77.6,23.0,0.0
36,13.11,101.25,10.0,95000.0,1,28.07,0.0,58095.0,82.4,50.0,4.0
36,13.11,337.47,2.0,50000.0,1,24.31,0.0,44558.0,83.0,22.0,0.0
36,12.12,399.26,1.0,66500.0,1,10.72,0.0,36033.0,67.7,21.0,2.0
36,12.12,440.85,10.0,55000.0,1,7.48,0.0,9487.0,66.8,18.0,0.0
36,12.12,665.44,10.0,80000.0,1,33.82,0.0,20400.0,73.4,25.0,0.0
36,13.11,843.68,9.0,98000.0,1,9.59,0.0,17140.0,66.2,26.0,5.0
60,19.72,575.5,10.0,55000.0,1,29.19,0.0,30653.0,80.5,30.0,3.0
36,11.14,157.47,10.0,54000.0,1,22.58,0.0,13849.0,47.9,18.0,1.0
36,14.33,446.4,1.0,70000.0,1,18.79,0.0,20915.0,93.8,16.0,5.0
36,13.99,367.36,10.0,30000.0,1,15.32,0.0,4602.0,31.0,26.0,1.0
60,22.45,459.95,0.0,55000.0,1,20.79,0.0,21443.0,87.5,29.0,0.0
36,10.74,587.09,10.0,109000.0,1,15.91,0.0,29224.0,75.1,34.0,5.0
36,14.33,343.39,10.0,62200.0,1,23.48,0.0,29350.0,83.9,15.0,0.0
36,6.03,182.62,5.0,65300.0,1,7.12,0.0,3741.0,6.8,16.0,4.0
36,16.29,282.41,0.0,70000.0,1,25.02,0.0,36655.0,66.6,21.0,0.0
36,7.62,243.06,2.0,50000.0,1,22.09,0.0,8541.0,45.0,29.0,0.0
36,8.9,317.54,1.0,90000.0,1,19.17,0.0,12907.0,62.4,41.0,1.0
36,17.27,214.73,7.0,26000.0,1,17.95,0.0,6685.0,92.8,11.0,0.0
36,15.31,389.96,3.0,32000.0,1,11.82,0.0,12062.0,56.4,13.0,0.0
60,19.05,908.89,1.0,110000.0,1,13.4,0.0,26633.0,91.8,20.0,4.0
60,19.72,670.32,10.0,57000.0,1,33.75,0.0,14435.0,57.6,38.0,3.0
36,17.77,288.3,1.0,53000.0,1,18.95,0.0,6048.0,84.0,29.0,2.0
36,16.29,706.01,0.0,60000.0,1,25.93,0.0,14404.0,66.4,29.0,0.0
36,14.65,241.46,4.0,30160.0,1,28.44,0.0,5669.0,59.8,24.0,0.0
36,14.65,365.64,4.0,28264.0,1,13.33,0.0,9629.0,74.1,6.0,1.5905941574050508
36,13.11,605.76,4.0,54000.0,1,21.8,0.0,26979.0,71.6,24.0,0.0
60,19.72,921.85,10.0,120000.0,1,12.75,0.0,37828.0,79.8,38.0,5.0
60,12.12,356.89,10.0,113000.0,1,9.87,0.0,11745.0,76.3,29.0,4.0
36,12.12,199.63,2.0,72000.0,1,18.1,0.0,10286.0,46.1,19.0,1.0
36,13.11,60.75,2.0,31000.0,1,18.98,0.0,4890.0,40.7,22.0,0.0
36,16.29,963.71,1.0,82000.0,1,17.14,0.0,39139.0,48.6,45.0,1.5905941574050508
36,8.9,635.07,6.0,57000.0,1,20.62,0.0,13992.0,41.3,15.0,2.0
36,7.9,156.46,5.740067017711824,30000.0,1,1.0,0.0,1047.0,11.1,16.0,6.0
36,12.12,199.63,10.0,120000.0,1,23.66,0.0,15700.0,53.4,14.0,1.0
36,12.12,199.63,1.0,55000.0,1,10.73,0.0,4954.0,91.7,17.0,0.0
36,12.12,212.94,10.0,74000.0,1,7.77,0.0,12027.0,61.7,31.0,0.0
36,14.33,343.39,10.0,35000.0,1,5.25,0.0,5377.0,30.0,18.0,4.0
36,13.49,339.31,10.0,62000.0,1,18.04,0.0,5665.0,33.7,30.0,1.5905941574050508
60,18.55,513.88,10.0,80000.0,1,13.75,0.0,20494.0,53.8,32.0,0.0
36,14.33,68.68,5.740067017711824,31899.96,1,18.17,0.0,4955.0,84.0,24.0,6.0
36,13.11,539.96,8.0,81000.0,1,19.97,0.0,15666.0,63.4,27.0,6.0
36,13.67,469.45,7.0,40000.0,1,21.33,0.0,11502.0,88.0,12.0,0.0
36,11.14,229.64,2.0,70000.0,1,17.54,0.0,18090.0,46.0,13.0,0.0
36,14.33,152.81,4.0,30000.0,1,25.32,0.0,4319.0,61.7,13.0,0.0
36,12.12,582.26,0.0,83000.0,1,11.73,0.0,17511.0,66.2,7.0,0.0
36,14.09,136.89,0.0,38612.0,1,21.26,0.0,12231.0,87.4,7.0,0.0
36,13.67,244.93,0.0,384000.0,1,1.78,0.0,10134.0,34.4,7.0,1.5905941574050508
36,17.27,250.52,3.0,30000.0,1,8.04,0.0,4924.0,80.6,25.0,2.0
36,17.27,644.18,10.0,122000.0,1,18.19,0.0,25144.0,70.4,25.0,1.0
36,14.09,205.33,0.0,51000.0,1,24.07,0.0,7849.0,46.7,35.0,0.0
36,7.9,75.1,2.0,105000.0,1,14.18,0.0,477.0,22.7,25.0,0.0
36,7.62,311.62,4.0,50000.0,1,10.37,0.0,872.0,11.3,16.0,2.0
36,14.09,410.66,6.0,85000.0,1,10.4,0.0,30519.0,50.1,23.0,0.0
36,17.77,518.94,2.0,55000.0,1,13.88,0.0,7401.0,76.3,14.0,0.0
36,18.75,1063.02,7.0,134000.0,1,21.6,0.0,35664.0,66.9,32.0,7.0
36,17.77,345.96,10.0,60000.0,1,20.12,0.0,5101.0,61.0,20.0,2.0
36,17.27,1252.56,1.0,120000.0,1,10.3,0.0,9733.0,21.9,17.0,1.0
36,7.62,188.53,3.0,92000.0,1,10.54,0.0,3100.0,59.6,7.0,0.0
36,7.62,373.94,3.0,57500.0,1,11.73,1.0,3686.0,10.2,31.0,2.0
36,14.09,377.3,10.0,70000.0,1,19.75,0.0,19508.0,93.7,32.0,2.0
36,7.9,563.23,5.0,157528.0,1,10.53,0.0,24810.0,60.8,33.0,4.0
36,13.11,215.99,5.0,45000.0,1,6.83,0.0,28566.0,87.6,6.0,1.0
36,19.05,550.22,9.0,50000.0,1,11.64,0.0,14524.0,48.7,46.0,0.0
36,7.9,625.81,9.0,102600.0,1,0.04,0.0,3.0,0.0,15.0,1.5905941574050508
36,6.62,307.04,10.0,94900.0,1,4.73,0.0,3108.0,6.8,25.0,1.5905941574050508
36,13.11,337.47,10.0,83000.0,1,27.38,0.0,26024.0,77.0,29.0,2.0
60,15.8,508.46,7.0,120000.0,1,27.73,0.0,51716.0,68.0,63.0,6.0
36,17.27,357.88,4.0,55000.0,1,16.21,0.0,6328.0,60.8,14.0,0.0
36,11.14,157.47,10.0,125000.0,1,18.48,0.0,76332.0,72.7,35.0,10.0
36,13.99,478.42,5.0,85000.0,1,8.74,0.0,3226.0,64.5,35.0,0.0
36,14.33,412.06,10.0,42000.0,1,24.54,0.0,13000.0,65.3,42.0,4.0
36,15.31,626.72,10.0,54000.0,1,11.71,0.0,14184.0,74.3,22.0,4.0
36,8.9,228.63,7.0,14400.0,1,27.67,0.0,5833.0,49.9,5.0,1.5905941574050508
36,6.62,276.34,2.0,89000.0,1,32.13,0.0,51449.0,39.0,30.0,1.0
36,13.11,377.97,10.0,52000.0,1,16.04,0.0,12791.0,69.5,10.0,0.0
36,15.8,140.24,3.0,250000.0,1,18.82,1.0,111010.0,86.4,30.0,5.0
36,13.99,102.52,9.0,32100.0,1,5.76,1.0,5479.0,68.5,6.0,0.0
36,13.67,340.18,10.0,40000.0,1,22.05,0.0,8350.0,56.9,20.0,0.0
36,7.62,373.94,2.0,45000.0,1,23.23,0.0,12226.0,79.4,14.0,1.5905941574050508
60,12.12,356.89,4.0,80000.0,1,25.32,0.0,34108.0,40.1,45.0,4.0
60,19.72,526.77,5.0,80000.0,1,22.78,0.0,17829.0,44.8,49.0,2.0
36,11.14,427.29,7.0,57350.0,1,20.11,0.0,4376.0,43.8,43.0,1.0
36,7.51,155.56,1.0,40000.0,1,15.69,0.0,5853.0,24.2,39.0,1.5905941574050508
36,13.11,86.06,4.0,57500.0,1,3.65,0.0,3331.0,13.0,15.0,0.0
36,15.31,174.09,7.0,25000.0,1,12.29,0.0,3318.0,44.2,14.0,0.0
36,11.14,295.25,0.0,64000.0,1,17.85,0.0,7858.0,78.6,15.0,0.0
36,13.11,101.25,10.0,51000.0,1,25.27,0.0,11264.0,63.6,16.0,0.0
36,15.96,224.88,3.0,60000.0,1,17.92,0.0,22064.0,83.6,13.0,1.5905941574050508
60,12.12,490.72,9.0,100000.0,1,5.44,0.0,3433.0,14.9,21.0,2.0
36,11.14,1148.18,10.0,303000.0,1,24.38,0.0,34608.0,82.2,20.0,4.0
36,13.11,269.98,7.0,40000.0,1,18.93,0.0,7738.0,31.7,19.0,1.5905941574050508
60,19.05,649.21,10.0,69000.0,1,21.95,0.0,11499.0,65.3,39.0,5.0
60,12.12,231.98,5.0,108000.0,1,6.82,0.0,3639.0,8.0,17.0,6.0
36,6.62,307.04,8.0,40000.0,1,7.47,0.0,10605.0,21.0,21.0,1.5905941574050508
